canonical_smiles,pic50
NS(=O)(=O)c1ccc(-n2nc(C(=O)N3CCSCC3)cc2-c2cccc(F)c2)cc1,6.72124639904717
O=c1/c(=C/c2cccc(O)c2)sc2nc(C34CC5CC(CC(C5)C3)C4)nn12,4.30102999566398
C=Cc1onc(-c2ccc(OC)cc2)c1-c1ccc(OC)cc1,4.30102999566398
CC(C)(C)C1=NN(c2ccc(C(=O)O)cc2)C(c2ccccc2)C1,3.999999999999999
Cc1ccc(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)o1,5.482804102050025
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)C(=O)OC2)cc1,6.515700160653213
COc1ccc(-c2nnc(/N=C3\NC(=O)CS3)s2)cc1OC,6.72124639904717
CC(=O)Oc1cccc(C2=C(c3ccc(S(C)(=O)=O)cc3)COC2=O)c1,8.774690718274137
CC(C(=O)O)c1ccc(C[C@H]2CCC[C@H]2O)cc1,4.913640169325251
COCCCNC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl,4.958607314841775
COc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)[nH]c3ccccc23)cc1,10.698970004336017
CCCc1c(C(F)(F)F)nn(-c2ccc(S(N)(=O)=O)cc2)c1-c1ccc(F)cc1,3.999999999999999
NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c3c2-c2ccccc2CS3)cc1,7.698970004336018
COc1ccc(-c2nc3cc(NC(=O)c4ccc([N+](=O)[O-])cc4)ccc3o2)cc1OC,6.795880017344074
CC1NC(=O)c2ccccc2S1(=O)=O,3.3727365834317786
CC1(O)OC(=O)C(c2ccc(F)c(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,5.488116639021126
COc1ccc2c(c1)c(CC(=O)NN1CCC[C@@H]1CO)c(C)n2C(=O)c1ccc(Cl)cc1,5.769551078621725
CNc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,6.180229106201514
Cc1ccc(Cl)c(Nc2ccccc2C(=O)NCC(=O)O)c1Cl,6.5228787452803365
O=C(O)[C@H]1C[C@](O)(c2ccc(Cl)cc2)[C@@H](c2ccc(Cl)cc2)O1,5.42021640338319
CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(Nc3ccc(F)cc3)n2)cc1,8.142667503568731
Cc1cc(F)ccc1C1=C(c2ccc(S(C)(=O)=O)cc2)CCC1,7.122455892284056
CCOc1cc(/C=N/c2ccc(S(N)(=O)=O)cc2)ccc1O,5.432973633840939
Cc1ccc(C(=O)n2nc(C)c3nnc4cc(Cl)c(F)cc4c32)cc1,4.892790030352131
Cc1c(S(=O)(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.221848749616355
NS(=O)(=O)c1ccc(/N=C/c2ccccc2)cc1,5.542118103266008
CC1=NN(c2ccc(S(N)(=O)=O)cc2)C(=O)/C1=C\c1cccc(OCc2ccccc2)c1,6.823908740944318
COc1ccccc1-c1nc(C(F)(F)F)cn1-c1ccc(S(C)(=O)=O)cc1,4.297593893306175
COc1cc(/C=C/c2cc(/C=C/c3ccc(O)cc3)on2)ccc1O,4.722161666997952
NS(=O)(=O)c1ccc(-c2[nH]c3ccc(F)cc3c2-c2ccccc2)cc1,8.698970004336019
CS(=O)(=O)c1ccc2c(c1)cc(C(=O)O)n2Cc1ccc(Cl)cc1,4.698970004336019
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccsc2)cc1,4.292429823902063
CC(=O)NC1=NN(C(C)=O)C(c2cn(-c3ccccc3)nc2-c2ccc(O)cc2)S1,4.853871964321761
COc1ccc(C2=Cc3ccccc3CC2)cc1OC,3.999999999999999
Nc1ccccc1C(=O)Nc1ccccc1C(F)(F)F,3.999999999999999
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)N(c3ccc(F)cc3)C2)cc1,6.455931955649724
CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)cnc2OCC2(O)CCCC2)cc1,6.096910013008056
CCc1cc(OC(F)(F)F)cc2c1O[C@H](C(F)(F)F)C(C(=O)O)=C2,7.221848749616355
NCc1c(-c2ccccc2)c(C(=O)O)c2ccccn12,4.826522356547005
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,7.045757490560674
CC(=O)Oc1ccccc1C1=C(c2ccc(S(C)(=O)=O)cc2)COC1=O,8.455931955649723
CS(=O)(=O)c1ccc(-c2cc(S(C)(=O)=O)sc2-c2ccc(F)cc2)cc1,3.6989700043360187
NS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(Cl)c3)CCC2)cc1,8.0
CC(=O)Oc1cc2oc(-c3ccccc3)cc2cc1-c1c[se]nn1,7.30102999566398
O=C(COc1ccc(Cl)cc1Cl)N/N=C1/SCC(=O)N1Cc1ccccc1,5.482804102050025
COc1cc(O)cc(Br)c1O,5.317854923626167
O=C(O)C1=Cc2c(ccc(Cl)c2-c2ccccc2)OC1C(F)(F)F,5.3334820194451185
Fc1ccc(COc2nc3ccccc3s2)cc1,6.431798275933005
[2H]C([2H])([2H])c1cc2c(c(C([2H])([2H])[2H])c1Cl)C=C(C(=O)O)[C@@H](C(F)(F)F)O2,7.795880017344074
CC(=O)NS(=O)(=O)c1ccc(-c2ccsc2-c2ccc(F)cc2)cc1,5.267606240177031
