SMILES,pIC50,QED,SA_Score,Mol_Weight,LogP,TPSA,Lipinski_Violations,Toxicophore,Comment,combined_score
Cc1cc(C)c2c(c1)C=C(C(=O)O)[C@@H](C(F)(F)F)O2,6.963950305079043,0.8540957844918313,1.0,272.222,3.0947400000000007,46.53,0,1,Passed all filters with QED optimization,8.672141874062705
COc1cccc(Nc2cnccc2NS(C)(=O)=O)c1,6.90238106589143,0.8830980762203121,1.0,293.34800000000007,2.2053000000000003,80.32,0,0,Passed all filters with QED optimization,8.668577218332054
[3H]C([3H])([3H])c1cc(Br)cc2c1O[C@H](C(F)(F)F)C(C(=O)O)=C2,6.876727720503566,0.8934588278762832,1.0,343.115147834,3.54882,46.53,0,1,Passed all filters with QED optimization,8.663645376256133
CS(=O)(=O)Nc1ccncc1Oc1ccc(Cl)cc1,6.778405316932868,0.9421074342377926,1.0,298.75100000000003,2.8988000000000014,68.29,0,0,Passed all filters with QED optimization,8.662620185408453
CS(=O)(=O)c1ccc(C2=C(c3ccccc3O)C(=O)OC2)cc1,6.91470377268034,0.873262603643503,1.0,330.3610000000001,2.263300000000001,80.67,0,1,Passed all filters with QED optimization,8.661228979967346
Cc1ccc(S(=O)(=O)NC(=O)c2cccnc2)cc1,6.817796941091687,0.9215413943600829,1.0,276.317,1.50872,76.13,0,1,Passed all filters with QED optimization,8.660879729811853
O=C(NS(=O)(=O)c1ccccc1)c1cccnc1,6.852172957421427,0.9013632753608682,1.0,262.29,1.2003,76.13,0,1,Passed all filters with QED optimization,8.654899508143163
CC(=O)N1N=C(c2ccc(S(C)(=O)=O)cc2)CC1c1ccc(F)cc1,6.9642522624955285,0.8451836747872632,1.0,360.41,2.926800000000002,66.81,0,1,Passed all filters with QED optimization,8.654619612070055
O=S(=O)(Nc1ccncc1Sc1ccccc1)C(F)(F)F,6.794918522144045,0.9296754539976579,1.0,334.344,3.494300000000001,59.06,0,0,Passed all filters with QED optimization,8.654269430139362
C[C@H](C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1,6.932245501996657,0.8606604129123266,1.0,248.32199999999995,2.5782000000000007,57.53,0,1,Passed all filters with QED optimization,8.65356632782131
CC1=NN(c2ccc(S(N)(=O)=O)cc2)C(=O)/C1=C\c1sccc1C,6.950396545533481,0.8513813148379351,1.0,361.44800000000004,2.510020000000001,92.82999999999998,0,1,Passed all filters with QED optimization,8.653159175209352
CS(=O)(=O)Nc1cc2c(cc1Sc1cncs1)C(=O)CC2,6.800374273994316,0.926008959067424,1.0,340.45100000000014,2.7947000000000015,76.13,0,0,Passed all filters with QED optimization,8.652392192129163
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,6.944208469936174,0.8540302270880286,1.0,257.289,2.1916200000000003,59.300000000000004,0,1,Passed all filters with QED optimization,8.652268924112231
O=S(=O)(Nc1ccncc1Nc1cccc(F)c1)C(F)(F)F,6.966434318549989,0.8417958045193242,1.0,335.282,3.2258000000000004,71.09,0,0,Passed all filters with QED optimization,8.650025927588636
NS(=O)(=O)c1ccc(N2CCN=C2c2ccc(Cl)c(Cl)c2)cc1,6.840844474468283,0.9027833004181963,1.0,370.26099999999997,2.9076000000000013,75.76,0,0,Passed all filters with QED optimization,8.646411075304675
CCc1c(Cl)ccc2c1C=C(C(=O)O)C(C(F)(F)F)O2,6.834166941218125,0.9060864592590355,1.0,306.667,3.6937000000000024,46.53,0,1,Passed all filters with QED optimization,8.646339859736196
CC1CN(c2ccc(S(N)(=O)=O)cc2)C(c2cccc(Br)c2)=N1,6.90578728024748,0.8700375479716155,1.0,394.294,2.751800000000001,75.75999999999999,0,0,Passed all filters with QED optimization,8.64586237619071
